,Place,Code,Country,Admin1,Admin2,Admin3
1,Calgary (City Centre / Calgary Tower),T2P,Canada,Alberta,Calgary,   51.071/-113.693
,,,,,,
2,Calgary (Cranston),T3M,Canada,Alberta,Calgary,   50.88/-113.955
,,,,,,
3,Calgary Northeast,T3N,Canada,Alberta,Calgary,   51.163/-113.954
,,,,,,
4,Calgary Northwest,T3R,Canada,Alberta,Calgary,   51.202/-114.245
,,,,,,
5,Calgary (Rundle / Whitehorn / Monterey Park),T1Y,Canada,Alberta,Calgary,   51.082/-113.958
,,,,,,
6,Calgary (Bridgeland / Greenview / Zoo / YYC),T2E,Canada,Alberta,Calgary,   51.088/-114.021
,,,,,,
7,Calgary (Highfield / Burns Industrial),T2H,Canada,Alberta,Calgary,   50.989/-114.052
,,,,,,
8,Calgary (Thornecliffe / Tuxedo),T2K,Canada,Alberta,Calgary,   51.111/-114.048
,,,,,,
9,Calgary (Brentwood / Collingwood / Nose Hill),T2L,Canada,Alberta,Calgary,   51.105/-114.115
,,,,,,
10,Calgary (Kensington / Westmont / Parkdale / University),T2N,Canada,Alberta,Calgary,   51.062/-114.116
,,,,,,
11,Calgary (Connaught / West Victoria Park),T2R,Canada,Alberta,Calgary,   51.041/-114.076
,,,,,,
12,Calgary South (Altadore / Bankview / Richmond),T2T,Canada,Alberta,Calgary,   51.024/-114.1
,,,,,,
13,Calgary (Braeside / Woodbine),T2W,Canada,Alberta,Calgary,   50.951/-114.359
,,,,,,
14,Calgary (Midnapore / Sundance),T2X,Canada,Alberta,Calgary,   50.884/-114.033
,,,,,,
15,Calgary (Millrise / Somerset / Bridlewood / Evergreen),T2Y,Canada,Alberta,Calgary,   50.909/-114.103
,,,,,,
16,Calgary (Rosscarrock / Wildwood / Shaganappi / Sunalta),T3C,Canada,Alberta,Calgary,   51.05/-114.139
,,,,,,
17,Calgary (Lakeview / Glendale / Killarney / Glamorgan),T3E,Canada,Alberta,Calgary,   50.99/-114.157
,,,,,,
18,Calgary (Tuscany / Scenic Acres),T3L,Canada,Alberta,Calgary,   51.147/-114.313
,,,,,,
19,Calgary (Symons Valley),T3P,Canada,Alberta,Calgary,   51.207/-114.135
,,,,,,
20,Calgary (Mount Pleasant / Capitol Hill / Banff Trail),T2M,Canada,Alberta,Calgary,   51.133/-113.856
,,,,,,
21,Calgary (Elbow Park / Britannia / Parkhill / Mission),T2S,Canada,Alberta,Calgary,   51.023/-114.071
,,,,,,
22,Calgary (Oak Ridge / Haysboro / Kingsland / Windsor Park),T2V,Canada,Alberta,Calgary,   50.982/-114.1
,,,,,,
23,Calgary (Martindale / Taradale / Falconridge / Saddle Ridge),T3J,Canada,Alberta,Calgary,   51.119/-113.947
,,,,,,
24,Calgary (Lynnwood Ridge / Ogden / Foothills Industrial / Great Plains),T2C,Canada,Alberta,Calgary,   50.987/-113.963
,,,,,,
25,Calgary (Inglewood / Burnsland / Chinatown / East Victoria Park / Saddledome),T2G,Canada,Alberta,Calgary,   51.027/-114.035
,,,,,,
26,Calgary (Douglas Glen / McKenzie Lake / Copperfield / East Shepard),T2Z,Canada,Alberta,Calgary,   50.928/-113.968
,,,,,,
27,Calgary (Hawkwood / Arbour Lake / Royal Oak / Rocky Ridge),T3G,Canada,Alberta,Calgary,   51.139/-114.201
,,,,,,
28,Calgary (Discovery Ridge / Signal Hill / Aspen Woods / Patterson / Cougar Ridge),T3H,Canada,Alberta,Calgary,   51.042/-114.2
,,,,,,
29,Calgary (Sandstone / Harvest Hills / Coventry Hills / Panorama Hills / Beddington),T3K,Canada,Alberta,Calgary,   51.156/-114.057
,,,,,,
30,Calgary,T3S,Canada,Alberta,Calgary,   50.915/-113.893
,,,,,,
31,Calgary (Queensland Downs / Lake Bonavista / Willow Park / Acadia),T2J,Canada,Alberta,Calgary,   50.848/-114.196
,,,,,,
32,Calgary (Penbrooke Meadows / Marlborough),T2A,Canada,Alberta,Calgary,   51.049/-113.956
,,,,,,
33,Calgary (Forest Lawn / Dover / Erin Woods),T2B,Canada,Alberta,Calgary,   51.021/-113.981
,,,,,,
34,Calgary (Dalhousie / Edgemont / Hamptons / Hidden Valley),T3A,Canada,Alberta,Calgary,   51.126/-114.142
,,,,,,
35,Calgary (Montgomery / Bowness / Silver Springs / Greenwood),T3B,Canada,Alberta,Calgary,   51.091/-114.207
