Place,Code,Country,Province,City
Calgary (City Centre / Calgary Tower),T2P,Canada,Alberta,Calgary
Calgary (Cranston),T3M,Canada,Alberta,Calgary
Calgary Northeast,T3N,Canada,Alberta,Calgary
Calgary Northwest,T3R,Canada,Alberta,Calgary
Calgary (Rundle / Whitehorn / Monterey Park),T1Y,Canada,Alberta,Calgary
Calgary (Bridgeland / Greenview / Zoo / YYC),T2E,Canada,Alberta,Calgary
Calgary (Highfield / Burns Industrial),T2H,Canada,Alberta,Calgary
Calgary (Thornecliffe / Tuxedo),T2K,Canada,Alberta,Calgary
Calgary (Brentwood / Collingwood / Nose Hill),T2L,Canada,Alberta,Calgary
Calgary (Kensington / Westmont / Parkdale / University),T2N,Canada,Alberta,Calgary
Calgary (Connaught / West Victoria Park),T2R,Canada,Alberta,Calgary
Calgary South (Altadore / Bankview / Richmond),T2T,Canada,Alberta,Calgary
Calgary (Braeside / Woodbine),T2W,Canada,Alberta,Calgary
Calgary (Midnapore / Sundance),T2X,Canada,Alberta,Calgary
Calgary (Millrise / Somerset / Bridlewood / Evergreen),T2Y,Canada,Alberta,Calgary
Calgary (Rosscarrock / Wildwood / Shaganappi / Sunalta),T3C,Canada,Alberta,Calgary
Calgary (Lakeview / Glendale / Killarney / Glamorgan),T3E,Canada,Alberta,Calgary
Calgary (Tuscany / Scenic Acres),T3L,Canada,Alberta,Calgary
Calgary (Symons Valley),T3P,Canada,Alberta,Calgary
Calgary (Mount Pleasant / Capitol Hill / Banff Trail),T2M,Canada,Alberta,Calgary
Calgary (Elbow Park / Britannia / Parkhill / Mission),T2S,Canada,Alberta,Calgary
Calgary (Oak Ridge / Haysboro / Kingsland / Windsor Park),T2V,Canada,Alberta,Calgary
Calgary (Martindale / Taradale / Falconridge / Saddle Ridge),T3J,Canada,Alberta,Calgary
Calgary (Lynnwood Ridge / Ogden / Foothills Industrial / Great Plains),T2C,Canada,Alberta,Calgary
Calgary (Inglewood / Burnsland / Chinatown / East Victoria Park / Saddledome),T2G,Canada,Alberta,Calgary
Calgary (Douglas Glen / McKenzie Lake / Copperfield / East Shepard),T2Z,Canada,Alberta,Calgary
Calgary (Hawkwood / Arbour Lake / Royal Oak / Rocky Ridge),T3G,Canada,Alberta,Calgary
Calgary (Discovery Ridge / Signal Hill / Aspen Woods / Patterson / Cougar Ridge),T3H,Canada,Alberta,Calgary
Calgary (Sandstone / Harvest Hills / Coventry Hills / Panorama Hills / Beddington),T3K,Canada,Alberta,Calgary
Calgary,T3S,Canada,Alberta,Calgary
Calgary (Queensland Downs / Lake Bonavista / Willow Park / Acadia),T2J,Canada,Alberta,Calgary
Calgary (Penbrooke Meadows / Marlborough),T2A,Canada,Alberta,Calgary
Calgary (Forest Lawn / Dover / Erin Woods),T2B,Canada,Alberta,Calgary
Calgary (Dalhousie / Edgemont / Hamptons / Hidden Valley),T3A,Canada,Alberta,Calgary
Calgary (Montgomery / Bowness / Silver Springs / Greenwood),T3B,Canada,Alberta,Calgary
